STN,YYYYMMDD,HH,DD,FH,FF,FX,T,T10,TD,SQ,Q,DR,RH,P,VV,N,U,WW,IX,M,R,S,O,Y
"  260",20010101,2,150,80,80,150,17,,-26,0,0,0,-1,10022,60,8,73,79,1,0,0,0,0,0
"  260",20010102,9,160,40,50,70,75,,59,2,4,0,0,9922,80,3,90,1,1,0,0,0,0,0
"  260",20010102,12,190,70,60,120,99,58,67,3,48,0,0,9911,80,6,80,3,1,0,0,0,0,0
"  260",20010102,21,180,70,80,120,98,,70,0,0,0,0,9912,80,8,83,3,1,0,0,0,0,0
"  260",20010102,24,200,70,70,110,98,88,61,0,0,0,0,9925,75,8,78,3,1,0,0,0,0,0
"  260",20010103,9,230,50,50,90,69,,53,3,8,0,0,10012,62,6,90,1,1,0,0,0,0,0
"  260",20010103,12,220,50,50,110,71,63,43,3,34,0,0,10040,70,5,82,2,1,0,0,0,0,0
"  260",20010104,9,170,50,60,90,76,,66,0,1,0,0,9940,58,8,93,10,1,0,0,0,0,0
"  260",20010104,12,150,50,50,90,88,66,66,0,9,0,0,9926,75,8,86,2,1,0,0,0,0,0
"  260",20010105,3,170,60,40,100,64,,45,0,0,0,0,9956,70,8,88,3,1,0,0,0,0,0
"  260",20010105,21,220,30,40,60,74,,63,0,0,0,0,9869,68,8,93,2,1,0,0,0,0,0
"  260",20010106,2,280,20,30,50,68,,64,0,0,0,0,9883,57,8,97,10,1,0,0,0,0,0
"  260",20010106,10,210,40,50,70,61,,49,3,21,0,0,9983,58,7,92,10,1,0,0,0,0,0
"  260",20010106,11,220,40,40,80,66,,57,0,13,0,0,9989,56,7,94,10,1,0,0,0,0,0
"  260",20010106,12,230,40,50,80,70,25,56,0,18,0,0,9990,58,7,91,10,1,0,0,0,0,0
"  260",20010106,13,230,50,60,90,74,,52,3,45,0,0,9996,59,6,86,10,1,0,0,0,0,0
"  260",20010107,18,210,40,40,60,53,33,41,0,0,0,0,10097,68,4,92,1,1,0,0,0,0,0
"  260",20010108,1,200,30,30,60,28,,22,0,0,0,0,10108,45,3,96,10,1,0,0,0,0,0
"  260",20010108,2,200,30,40,60,21,,18,0,0,0,0,10109,40,2,98,10,1,0,0,0,0,0
"  260",20010108,3,200,40,40,60,20,,16,0,0,0,0,10109,45,1,97,10,1,0,0,0,0,0
"  260",20010108,4,190,40,40,60,17,,12,0,0,0,0,10109,45,1,96,10,1,0,0,0,0,0
"  260",20010108,5,200,40,40,70,17,,11,0,0,0,0,10107,50,2,96,10,1,0,0,0,0,0
"  260",20010108,6,200,40,50,70,16,-4,9,0,0,0,0,10107,56,0,95,10,1,0,0,0,0,0
"  260",20010108,7,200,40,40,70,14,,8,0,0,0,0,10108,56,1,96,10,1,0,0,0,0,0
"  260",20010108,8,200,40,40,70,20,,10,0,0,0,0,10111,58,2,93,10,1,0,0,0,0,0
"  260",20010108,10,210,50,50,100,45,,29,8,44,0,0,10114,62,7,89,15,1,0,0,0,0,0
"  260",20010108,14,230,50,40,80,54,,41,0,16,0,0,10113,59,8,91,10,1,0,0,0,0,0
"  260",20010108,15,230,40,40,80,54,,42,0,8,0,0,10115,60,7,92,1,1,0,0,0,0,0
"  260",20010108,17,210,40,40,60,54,,41,0,0,0,0,10119,59,8,91,10,1,0,0,0,0,0
"  260",20010108,21,220,30,40,50,54,,49,0,0,0,0,10127,58,7,97,10,1,0,0,0,0,0
"  260",20010108,24,240,30,20,60,45,27,39,0,0,0,0,10133,65,7,96,2,1,0,0,0,0,0
"  260",20010109,3,230,30,30,70,41,,35,0,0,0,0,10135,59,2,96,10,1,0,0,0,0,0
"  260",20010109,7,230,20,20,40,21,,20,0,0,0,0,10139,35,1,99,10,1,0,0,0,0,0
"  260",20010109,8,230,20,30,40,24,,22,0,0,0,0,10144,57,1,99,10,1,0,0,0,0,0
"  260",20010109,13,210,30,40,60,51,,36,0,47,0,0,10146,59,7,90,10,1,0,0,0,0,0
"  260",20010109,14,210,30,20,60,55,,42,3,38,0,0,10144,56,7,91,10,1,0,0,0,0,0
"  260",20010109,15,210,30,20,60,51,,39,7,24,0,0,10144,33,7,92,10,1,0,0,0,0,0
"  260",20010109,16,190,20,20,30,45,,38,0,4,0,0,10142,25,7,95,10,1,0,0,0,0,0
"  260",20010109,17,180,30,30,50,42,,34,0,0,0,0,10143,25,8,95,10,1,0,0,0,0,0
"  260",20010109,18,190,30,30,50,43,27,34,0,0,0,0,10144,35,8,94,10,1,0,0,0,0,0
"  260",20010109,19,190,20,20,40,42,,32,0,0,0,0,10145,40,7,93,10,1,0,0,0,0,0
"  260",20010109,20,220,20,20,40,42,,29,0,0,0,0,10147,45,7,91,10,1,0,0,0,0,0
"  260",20010109,21,990,10,10,30,42,,29,0,0,0,0,10145,45,8,91,10,1,0,0,0,0,0
"  260",20010109,22,190,20,20,30,42,,29,0,0,0,0,10143,58,8,91,10,1,0,0,0,0,0
"  260",20010109,23,990,10,10,30,27,,18,0,0,0,0,10139,57,7,94,10,1,0,0,0,0,0
"  260",20010109,24,70,10,20,20,12,-12,8,0,0,0,0,10139,50,8,97,10,1,0,0,0,0,0
"  260",20010110,1,70,20,20,20,8,,5,0,0,0,0,10135,20,8,98,10,1,0,0,0,0,0
"  260",20010110,2,80,20,20,30,13,,12,0,0,0,0,10137,15,8,99,10,1,0,0,0,0,0
"  260",20010110,3,50,20,20,30,11,,9,0,0,0,0,10133,20,8,99,10,1,0,0,0,0,0
"  260",20010110,4,60,20,20,40,6,,5,0,0,0,0,10132,0,9,99,47,1,1,0,0,0,0
"  260",20010110,5,50,20,20,40,10,,9,0,0,0,0,10126,12,8,99,28,1,1,0,0,0,0
"  260",20010110,6,50,20,20,50,8,-17,7,0,0,0,0,10125,30,8,99,10,1,0,0,0,0,0
"  260",20010110,7,60,30,30,50,10,,9,0,0,0,0,10123,56,7,99,10,1,0,0,0,0,0
"  260",20010110,8,60,20,20,50,11,,9,0,0,0,0,10125,45,7,99,10,1,0,0,0,0,0
"  260",20010110,9,60,30,30,50,14,,10,7,9,0,0,10126,50,7,97,10,1,0,0,0,0,0
"  260",20010110,10,70,40,40,70,26,,15,7,33,0,0,10128,58,7,92,10,1,0,0,0,0,0
"  260",20010110,11,70,40,40,70,33,,16,0,33,0,0,10129,59,8,89,10,1,0,0,0,0,0
"  260",20010110,15,70,50,50,80,32,,15,2,17,0,0,10121,50,7,89,10,1,0,0,0,0,0
"  260",20010110,16,60,50,50,90,28,,13,0,4,0,0,10125,42,8,90,10,1,0,0,0,0,0
"  260",20010110,17,60,50,50,90,30,,14,0,0,0,0,10126,38,8,89,10,1,0,0,0,0,0
"  260",20010110,18,60,50,40,80,31,24,15,0,0,0,0,10134,40,8,89,10,1,0,0,0,0,0
"  260",20010110,19,50,50,50,90,32,,15,0,0,0,0,10140,38,8,89,10,1,0,0,0,0,0
"  260",20010110,20,50,50,60,90,31,,14,0,0,0,0,10146,38,8,89,10,1,0,0,0,0,0
"  260",20010110,21,60,50,50,90,30,,13,0,0,0,0,10150,35,8,89,10,1,0,0,0,0,0
"  260",20010110,22,50,50,60,90,31,,12,0,0,0,0,10152,40,8,87,10,1,0,0,0,0,0
"  260",20010110,23,60,50,50,90,29,,9,0,0,0,0,10160,50,8,87,10,1,0,0,0,0,0
"  260",20010110,24,50,60,60,90,27,23,10,0,0,0,0,10166,45,8,89,10,1,0,0,0,0,0
"  260",20010111,1,60,60,70,100,29,,10,0,0,0,0,10170,45,8,87,10,1,0,0,0,0,0
"  260",20010111,2,60,70,60,120,32,,9,0,0,0,0,10175,56,8,85,10,1,0,0,0,0,0
"  260",20010111,3,60,60,60,110,31,,7,0,0,0,0,10179,56,8,84,10,1,0,0,0,0,0
"  260",20010111,4,50,60,60,110,25,,5,0,0,0,0,10186,56,8,87,10,1,0,0,0,0,0
"  260",20010111,5,50,50,50,90,18,,4,0,0,0,0,10191,50,8,90,10,1,0,0,0,0,0
"  260",20010111,6,50,50,60,80,14,6,-1,0,0,0,0,10198,50,6,90,10,1,0,0,0,0,0
"  260",20010111,8,40,50,60,90,7,,-6,0,0,0,0,10220,58,4,91,10,1,0,0,0,0,0
"  260",20010112,15,40,30,30,50,49,,16,5,37,0,0,10285,65,7,79,3,1,0,0,0,0,0
"  260",20010112,18,50,30,30,40,19,-3,0,0,0,0,0,10294,63,2,87,1,1,0,0,0,0,0
"  260",20010113,2,60,20,20,40,-18,,-25,0,0,0,0,10326,58,1,94,10,1,0,0,0,0,0
"  260",20010113,3,60,30,40,50,-22,,-30,0,0,0,0,10329,50,0,93,10,1,0,0,0,0,0
"  260",20010113,4,60,40,40,60,-24,,-32,0,0,0,0,10333,50,0,93,10,1,0,0,0,0,0
"  260",20010113,5,60,40,40,60,-25,,-34,0,0,0,0,10335,50,0,93,10,1,0,0,0,0,0
"  260",20010113,6,60,30,30,50,-30,-45,-39,0,0,0,0,10338,50,0,93,10,1,0,0,0,0,0
"  260",20010113,7,50,30,30,50,-32,,-40,0,0,0,0,10342,45,0,93,10,1,0,0,0,0,0
"  260",20010113,8,40,30,30,50,-28,,-38,0,0,0,0,10345,50,1,92,10,1,0,0,0,0,0
"  260",20010113,9,50,30,30,50,-18,,-34,10,28,0,0,10350,56,1,87,10,1,0,0,0,0,0
"  260",20010113,10,80,40,60,80,-3,,-32,10,70,0,0,10356,59,2,78,5,1,0,0,0,0,0
"  260",20010113,18,50,40,40,70,-7,-17,-25,0,0,0,0,10373,59,1,86,10,1,0,0,0,0,0
"  260",20010113,19,50,40,40,60,-13,,-28,0,0,0,0,10377,59,0,88,10,1,0,0,0,0,0
"  260",20010113,20,50,40,40,60,-17,,-32,0,0,0,0,10381,59,0,88,10,1,0,0,0,0,0
"  260",20010113,21,50,30,30,50,-22,,-36,0,0,0,0,10382,59,0,89,10,1,0,0,0,0,0
"  260",20010113,22,60,30,30,40,-26,,-39,0,0,0,0,10381,59,1,90,10,1,0,0,0,0,0
"  260",20010113,23,40,30,30,50,-26,,-40,0,0,0,0,10383,59,0,89,10,1,0,0,0,0,0
"  260",20010113,24,40,20,20,40,-32,-48,-44,0,0,0,0,10382,59,0,90,10,1,0,0,0,0,0
"  260",20010114,1,40,20,30,40,-35,,-45,0,0,0,0,10379,59,0,92,10,1,0,0,0,0,0
"  260",20010114,2,50,40,30,60,-36,,-47,0,0,0,0,10381,59,0,91,10,1,0,0,0,0,0
"  260",20010114,3,50,30,30,50,-38,,-50,0,0,0,0,10376,59,0,90,10,1,0,0,0,0,0
"  260",20010114,4,40,20,20,40,-47,,-55,0,0,0,0,10373,59,1,93,10,1,0,0,0,0,0
"  260",20010114,5,40,20,20,40,-47,,-54,0,0,0,0,10371,59,1,94,10,1,0,0,0,0,0
"  260",20010114,6,40,20,20,30,-47,-75,-54,0,0,0,0,10370,59,1,94,10,1,0,0,0,0,0
"  260",20010114,9,30,30,20,60,-27,,-31,0,7,0,0,10369,33,7,97,10,1,0,0,0,0,0
"  260",20010114,10,40,20,20,40,-11,,-17,0,14,0,0,10367,45,7,95,10,1,0,0,0,0,0
"  260",20010114,11,50,20,20,50,-2,,-9,0,17,0,0,10360,56,8,94,10,1,0,0,0,0,0
"  260",20010114,12,60,30,30,50,5,-88,-5,0,15,0,0,10356,59,8,93,10,1,0,0,0,0,0
"  260",20010114,13,70,40,50,80,6,,-8,0,18,0,0,10348,58,8,90,10,1,0,0,0,0,0
"  260",20010114,14,70,60,60,110,3,,-18,0,9,0,0,10344,59,8,86,10,1,0,0,0,0,0
"  260",20010114,15,60,60,60,100,3,,-18,0,7,0,0,10342,59,8,86,10,1,0,0,0,0,0
"  260",20010114,16,70,60,40,110,2,,-18,0,2,0,0,10340,57,8,86,10,1,0,0,0,0,0
"  260",20010114,17,80,50,50,100,1,,-19,0,0,0,0,10338,57,8,86,10,1,0,0,0,0,0
"  260",20010114,18,70,60,50,90,-1,-4,-21,0,0,0,0,10335,58,8,85,10,1,0,0,0,0,0
"  260",20010114,23,50,30,40,60,-24,,-37,0,0,0,0,10320,58,0,90,10,1,0,0,0,0,0
"  260",20010114,24,60,40,50,70,-27,-36,-39,0,0,0,0,10314,58,0,90,10,1,0,0,0,0,0
"  260",20010115,1,70,50,60,80,-27,,-41,0,0,0,0,10311,58,1,89,10,1,0,0,0,0,0
"  260",20010115,2,70,50,60,90,-28,,-42,0,0,0,0,10306,56,1,89,10,1,0,0,0,0,0
"  260",20010115,3,70,50,50,90,-28,,-43,0,0,0,0,10301,56,1,88,10,1,0,0,0,0,0
"  260",20010115,4,80,40,40,80,-34,,-48,0,0,0,0,10298,56,2,89,10,1,0,0,0,0,0
"  260",20010115,5,80,30,40,70,-35,,-49,0,0,0,0,10293,56,1,89,10,1,0,0,0,0,0
"  260",20010115,6,80,40,40,60,-39,-46,-53,0,0,0,0,10292,56,0,89,10,1,0,0,0,0,0
"  260",20010115,7,90,40,40,60,-40,,-55,0,0,0,0,10289,56,0,88,10,1,0,0,0,0,0
"  260",20010115,8,90,40,50,70,-40,,-57,0,0,0,0,10291,56,0,86,10,1,0,0,0,0,0
"  260",20010115,9,80,40,40,70,-33,,-54,10,17,0,0,10292,56,0,84,10,1,0,0,0,0,0
"  260",20010115,10,90,50,50,80,-22,,-51,10,52,0,0,10290,59,0,78,5,1,0,0,0,0,0
"  260",20010115,22,110,40,30,50,-30,,-50,0,0,0,0,10267,57,0,84,10,1,0,0,0,0,0
"  260",20010115,23,90,20,20,50,-42,,-56,0,0,0,0,10267,58,0,89,10,1,0,0,0,0,0
"  260",20010115,24,70,20,20,30,-41,-88,-55,0,0,0,0,10266,58,0,89,10,1,0,0,0,0,0
"  260",20010116,1,90,30,30,40,-43,,-58,0,0,0,0,10265,57,0,88,10,1,0,0,0,0,0
"  260",20010116,2,80,30,30,50,-43,,-59,0,0,0,0,10265,57,0,87,10,1,0,0,0,0,0
"  260",20010116,3,90,30,20,40,-47,,-63,0,0,0,0,10261,50,0,87,10,1,0,0,0,0,0
"  260",20010116,4,100,30,30,50,-49,,-65,0,0,0,0,10259,50,0,87,10,1,0,0,0,0,0
"  260",20010116,5,80,30,30,40,-49,,-65,0,0,0,0,10256,50,0,87,10,1,0,0,0,0,0
"  260",20010116,6,80,30,30,40,-49,-89,-66,0,0,0,0,10256,57,0,86,10,1,0,0,0,0,0
"  260",20010116,7,90,30,30,40,-53,,-69,0,0,0,0,10255,56,0,87,10,1,0,0,0,0,0
"  260",20010116,8,110,20,20,40,-62,,-75,0,0,0,0,10257,56,0,89,10,1,0,0,0,0,0
"  260",20010116,9,70,20,30,40,-44,,-62,10,20,0,0,10255,58,0,86,10,1,0,0,0,0,0
"  260",20010116,10,100,20,20,30,-24,,-55,10,59,0,0,10255,59,0,77,5,1,0,0,0,0,0
"  260",20010116,18,90,30,20,50,-27,-65,-60,0,0,0,0,10238,59,0,76,5,1,0,0,0,0,0
"  260",20010116,19,100,10,20,30,-42,,-63,0,0,0,0,10237,57,0,84,10,1,0,0,0,0,0
"  260",20010116,20,40,10,10,30,-41,,-57,0,0,0,0,10235,56,1,87,10,1,0,0,0,0,0
"  260",20010116,21,50,20,20,30,-49,,-61,0,0,0,0,10234,50,3,90,10,1,0,0,0,0,0
"  260",20010116,22,50,20,20,30,-42,,-55,0,0,0,0,10232,48,3,89,10,1,0,0,0,0,0
"  260",20010116,23,70,20,10,30,-53,,-62,0,0,0,0,10230,45,2,93,10,1,0,0,0,0,0
"  260",20010116,24,70,10,20,20,-63,-103,-71,0,0,0,0,10228,35,1,93,10,1,0,0,0,0,0
"  260",20010117,1,80,20,20,30,-67,,-74,0,0,0,0,10223,35,1,94,10,1,0,0,0,0,0
"  260",20010117,2,70,20,20,30,-64,,-71,0,0,0,0,10221,35,1,94,10,1,0,0,0,0,0
"  260",20010117,3,50,10,10,30,-68,,-76,0,0,0,0,10216,30,0,93,10,1,0,0,0,0,0
"  260",20010117,4,70,10,20,20,-74,,-83,0,0,0,0,10213,30,0,92,10,1,0,0,0,0,0
"  260",20010117,5,60,10,10,20,-77,,-87,0,0,0,0,10208,30,0,92,10,1,0,0,0,0,0
"  260",20010117,6,50,10,10,20,-85,-113,-94,0,0,0,0,10207,35,0,92,10,1,0,0,0,0,0
"  260",20010117,7,50,10,10,20,-87,,-96,0,0,0,0,10207,35,1,92,10,1,0,0,0,0,0
"  260",20010117,8,40,10,10,20,-88,,-95,0,0,0,0,10208,35,1,94,10,1,0,0,0,0,0
"  260",20010117,9,30,10,10,20,-68,,-76,7,19,0,0,10207,40,1,93,10,1,0,0,0,0,0
"  260",20010117,10,990,10,10,20,-50,,-67,10,60,0,0,10206,50,1,86,10,1,0,0,0,0,0
"  260",20010117,11,990,10,10,10,-28,,-56,10,88,0,0,10205,50,1,79,5,1,0,0,0,0,0
"  260",20010117,12,990,10,10,20,-4,-116,-62,10,131,0,0,10198,56,2,61,5,1,0,0,0,0,0
"  260",20010117,13,990,10,10,20,0,,-69,10,129,0,0,10192,57,5,60,5,1,0,0,0,0,0
"  260",20010117,14,990,10,10,20,8,,-62,10,83,0,0,10188,58,6,59,5,1,0,0,0,0,0
"  260",20010117,15,990,10,10,20,5,,-59,7,46,0,0,10189,59,6,62,5,1,0,0,0,0,0
"  260",20010117,16,60,20,20,30,-8,,-47,3,11,0,0,10191,56,7,72,5,1,0,0,0,0,0
"  260",20010117,17,60,20,20,30,-18,,-46,0,0,0,0,10192,56,6,79,5,1,0,0,0,0,0
"  260",20010117,18,60,20,10,20,-26,-47,-47,0,0,0,0,10194,56,6,84,10,1,0,0,0,0,0
"  260",20010117,19,120,10,20,20,-39,,-52,0,0,0,0,10192,50,1,90,10,1,0,0,0,0,0
"  260",20010117,20,110,20,20,20,-46,,-60,0,0,0,0,10194,50,0,89,10,1,0,0,0,0,0
"  260",20010117,21,120,10,10,20,-53,,-62,0,0,0,0,10195,50,1,93,10,1,0,0,0,0,0
"  260",20010117,22,120,10,10,10,-63,,-74,0,0,0,0,10196,45,1,91,10,1,0,0,0,0,0
"  260",20010117,23,80,10,10,10,-73,,-82,0,0,0,0,10195,45,1,92,10,1,0,0,0,0,0
"  260",20010117,24,110,10,10,20,-75,-105,-83,0,0,0,0,10193,40,0,93,10,1,0,0,0,0,0
"  260",20010118,1,110,10,10,20,-79,,-86,0,0,0,0,10191,35,0,94,10,1,0,0,0,0,0
"  260",20010118,2,100,10,10,20,-82,,-90,0,0,0,0,10190,30,0,93,10,1,0,0,0,0,0
"  260",20010118,3,60,10,10,10,-86,,-96,0,0,0,0,10189,30,1,92,10,1,0,0,0,0,0
"  260",20010118,4,50,10,10,20,-74,,-81,0,0,0,0,10187,30,3,94,10,1,0,0,0,0,0
"  260",20010118,5,70,10,10,20,-75,,-85,0,0,0,0,10189,30,3,92,10,1,0,0,0,0,0
"  260",20010118,6,40,10,10,20,-68,-108,-76,0,0,0,0,10188,30,6,93,10,1,0,0,0,0,0
"  260",20010118,7,990,10,10,20,-62,,-73,0,0,0,0,10190,30,7,91,10,1,0,0,0,0,0
"  260",20010118,8,50,10,10,30,-59,,-71,0,0,0,0,10192,30,7,90,10,1,0,0,0,0,0
"  260",20010118,9,60,10,20,20,-52,,-64,0,7,0,-1,10194,30,8,90,77,1,0,0,1,0,0
"  260",20010118,10,990,10,10,20,-40,,-51,0,7,0,-1,10195,18,8,91,70,1,0,0,1,0,0
"  260",20010118,11,50,10,10,20,-34,,-44,0,10,10,1,10196,15,8,92,71,1,0,0,1,0,0
"  260",20010118,12,990,10,10,20,-28,-83,-36,0,13,10,1,10193,18,8,93,71,1,0,0,1,0,0
"  260",20010118,13,990,10,10,20,-22,,-30,0,12,4,1,10190,18,8,93,77,1,0,0,1,0,0
"  260",20010118,14,60,10,20,30,-20,,-27,0,7,0,-1,10190,12,8,94,22,1,0,0,1,0,0
"  260",20010118,15,990,10,10,30,-17,,-21,0,4,0,0,10191,0,9,97,49,1,1,0,0,0,1
"  260",20010118,16,990,10,10,20,-14,,-16,0,0,0,-1,10193,7,8,98,77,1,1,0,1,0,1
"  260",20010118,17,360,10,10,20,-12,,-14,0,0,2,1,10193,11,8,98,77,1,1,0,1,0,1
"  260",20010118,18,20,10,10,10,-11,-24,-13,0,0,0,-1,10195,11,8,98,22,1,0,0,1,0,0
"  260",20010118,19,990,10,10,20,-10,,-13,0,0,0,0,10197,11,8,98,10,1,0,0,0,0,0
"  260",20010118,20,0,0,0,10,-9,,-12,0,0,0,0,10198,10,8,98,10,1,0,0,0,0,0
"  260",20010118,21,290,10,10,10,-8,,-11,0,0,0,0,10201,2,9,98,49,1,1,0,0,0,1
"  260",20010118,22,990,10,10,20,-7,,-9,0,0,0,0,10203,3,8,98,48,1,1,0,0,0,1
"  260",20010118,23,990,10,10,20,-6,,-7,0,0,0,0,10204,2,8,99,48,1,1,0,0,0,1
"  260",20010118,24,300,10,10,20,-6,-10,-7,0,0,0,0,10205,1,8,99,48,1,1,0,0,0,1
"  260",20010119,1,0,10,0,10,-5,,-6,0,0,0,0,10204,1,8,99,44,1,1,0,0,0,1
"  260",20010119,2,0,10,0,10,-5,,-6,0,0,0,0,10205,0,8,99,46,1,1,0,0,0,0
"  260",20010119,3,0,0,0,10,-6,,-7,0,0,0,0,10204,0,8,99,48,1,1,0,0,0,1
"  260",20010119,4,990,10,10,20,-5,,-6,0,0,0,0,10207,0,9,99,49,1,1,0,0,0,1
"  260",20010119,5,990,10,10,20,-7,,-8,0,0,0,0,10207,1,9,99,49,1,1,0,0,0,1
"  260",20010119,6,0,0,0,10,-8,-8,-9,0,0,0,0,10209,1,9,99,49,1,1,0,0,0,1
"  260",20010119,7,140,0,10,10,-9,,-10,0,0,0,0,10210,1,9,99,49,1,1,0,0,0,1
"  260",20010119,8,110,10,10,20,-12,,-12,0,0,0,0,10214,1,9,100,49,1,1,0,0,0,1
"  260",20010119,9,990,10,10,20,-12,,-12,0,4,0,0,10219,3,8,100,48,1,1,0,0,0,1
"  260",20010119,10,140,10,20,20,-11,,-12,0,17,0,0,10222,1,8,99,48,1,1,0,0,0,1
"  260",20010119,11,90,10,10,20,-10,,-11,2,37,0,0,10222,4,7,99,48,1,1,0,0,0,1
"  260",20010119,12,990,10,10,20,-5,-14,-6,0,55,0,0,10221,1,9,99,49,1,1,0,0,0,1
"  260",20010119,13,990,10,10,30,-9,,-10,0,23,0,0,10221,1,9,99,49,1,1,0,0,0,1
"  260",20010119,14,990,10,10,20,-9,,-10,0,10,0,0,10221,0,9,99,49,1,1,0,0,0,1
"  260",20010119,15,140,20,20,30,-9,,-10,0,11,0,0,10223,1,9,99,49,1,1,0,0,0,1
"  260",20010119,16,140,20,20,30,-6,,-6,0,3,0,0,10225,0,9,100,49,1,1,0,0,0,1
"  260",20010119,17,140,20,20,30,-2,,-2,0,0,0,0,10226,0,9,100,49,1,1,0,0,0,1
"  260",20010119,18,150,20,20,30,1,-7,0,0,0,0,0,10225,1,9,99,49,1,1,0,0,0,1
"  260",20010119,19,170,20,20,40,2,,2,0,0,0,0,10229,2,9,100,49,1,1,0,0,0,1
"  260",20010119,20,200,20,20,30,3,,2,0,0,0,0,10230,15,8,99,28,1,1,0,0,0,1
"  260",20010119,21,160,20,20,30,3,,2,0,0,0,0,10230,15,8,99,10,1,0,0,0,0,0
"  260",20010119,22,200,20,20,30,0,,-2,0,0,0,0,10229,13,8,99,10,1,0,0,0,0,0
"  260",20010119,23,150,20,20,30,-2,,-3,0,0,0,0,10230,9,8,99,46,1,1,0,0,0,0
"  260",20010119,24,160,20,20,40,0,-8,-1,0,0,0,-1,10232,5,8,99,70,1,1,0,1,0,0
"  260",20010120,1,150,20,20,30,0,,-1,0,0,0,-1,10230,4,8,99,70,1,1,0,1,0,0
"  260",20010120,2,170,10,20,30,0,,-1,0,0,0,-1,10231,6,8,99,42,1,1,0,1,0,0
"  260",20010120,3,150,20,20,30,-3,,-4,0,0,0,0,10228,3,8,99,46,1,1,0,0,0,0
"  260",20010120,4,160,20,20,40,-9,,-10,0,0,0,0,10228,14,8,99,28,1,1,0,0,0,0
"  260",20010120,5,150,20,20,30,-7,,-8,0,0,0,-1,10229,20,8,99,70,1,0,0,1,0,0
"  260",20010120,6,160,20,10,20,-9,-17,-10,0,0,0,-1,10228,15,8,99,70,1,0,0,1,0,0
"  260",20010120,7,170,20,20,40,-2,,-3,0,0,0,-1,10230,11,8,99,22,1,0,0,1,0,0
"  260",20010120,8,180,20,20,30,-1,,-3,0,0,0,-1,10232,7,8,98,70,1,1,0,1,0,0
"  260",20010120,9,180,20,30,40,2,,0,0,3,0,-1,10235,8,8,99,42,1,1,0,1,0,0
"  260",20010120,10,200,30,30,50,5,,1,0,8,0,0,10240,9,8,97,42,1,1,0,0,0,0
"  260",20010120,11,170,30,30,50,6,,2,0,13,0,-1,10241,7,8,97,70,1,1,0,1,0,0
"  260",20010120,12,180,20,20,40,7,-13,2,0,21,0,-1,10239,8,8,96,70,1,1,0,1,0,0
"  260",20010120,13,180,20,30,50,6,,2,0,17,5,1,10236,8,8,97,44,1,1,0,1,0,0
"  260",20010120,14,160,20,20,50,11,,6,0,23,0,0,10235,9,8,96,42,1,1,0,0,0,0
"  260",20010120,15,150,30,30,40,3,,-2,0,17,0,-1,10238,9,8,96,70,1,1,0,1,0,0
"  260",20010120,16,150,30,30,50,1,,-3,0,0,0,-1,10242,8,8,97,77,1,1,0,1,0,0
"  260",20010120,17,160,20,30,40,2,,-1,0,0,4,2,10243,10,8,98,77,1,1,0,1,0,0
"  260",20010120,18,150,20,20,40,1,1,-2,0,0,0,-1,10246,10,8,98,77,1,0,0,1,0,0
"  260",20010120,19,160,30,30,50,2,,-1,0,0,0,-1,10247,10,8,98,77,1,0,0,1,0,0
"  260",20010120,20,150,30,30,50,1,,-1,0,0,10,1,10247,8,8,99,71,1,1,0,1,0,0
"  260",20010120,21,140,30,30,50,0,,-2,0,0,10,3,10248,8,8,99,73,1,1,0,1,0,0
"  260",20010120,22,160,30,30,50,-2,,-4,0,0,10,5,10248,10,8,98,71,1,1,0,1,0,0
"  260",20010120,23,160,40,30,60,0,,-2,0,0,8,1,10250,15,8,99,22,1,0,0,1,0,0
"  260",20010120,24,150,30,30,50,0,-1,-2,0,0,0,-1,10251,15,8,99,22,1,0,0,1,0,0
"  260",20010121,1,160,30,30,40,1,,-1,0,0,0,0,10250,17,8,99,10,1,0,0,0,0,0
"  260",20010121,2,990,20,10,40,1,,-1,0,0,0,0,10250,20,8,99,10,1,0,0,0,0,0
"  260",20010121,3,170,20,20,40,1,,-3,0,0,0,0,10250,22,8,97,10,1,0,0,0,0,0
"  260",20010121,4,180,20,20,40,-1,,-5,0,0,0,0,10249,28,8,97,10,1,0,0,0,0,0
"  260",20010121,5,150,20,20,30,-3,,-7,0,0,0,-1,10249,32,8,97,70,1,0,0,1,0,0
"  260",20010121,6,160,20,20,40,-4,-4,-8,0,0,10,5,10245,35,8,97,71,1,0,0,1,0,0
"  260",20010121,7,170,30,30,40,-4,,-12,0,0,2,1,10249,28,8,94,22,1,0,0,1,0,0
"  260",20010121,8,170,30,30,50,-9,,-17,0,0,0,0,10249,20,7,94,10,1,0,0,0,0,0
"  260",20010121,9,160,30,30,60,-17,,-26,8,14,0,0,10246,22,1,93,10,1,0,0,0,0,0
"  260",20010121,10,160,30,30,60,-16,,-29,10,46,0,0,10247,25,1,90,10,1,0,0,0,0,0
"  260",20010121,11,150,40,40,60,-9,,-32,10,79,0,0,10240,28,2,82,10,1,0,0,0,0,0
"  260",20010121,12,150,40,30,60,-3,-25,-34,10,94,0,0,10232,33,6,77,5,1,0,0,0,0,0
"  260",20010121,13,130,40,40,60,3,,-31,2,67,0,0,10222,30,7,78,5,1,0,0,0,0,0
"  260",20010121,14,120,40,50,70,7,,-30,0,50,0,0,10210,31,8,76,5,1,0,0,0,0,0
